file,title,author
cover_001.jpg,The Kite Runner,Khaled Hosseini
cover_002.jpg,The Alchemist,Paulo Coelho
cover_003.jpg,Atomic Habits,James Clear
cover_004.jpg,Nineteen Eighty-Four,George Orwell
cover_005.jpg,To Kill a Mockingbird,Harper Lee
cover_006.jpg,The Great Gatsby,F. Scott Fitzgerald
cover_007.jpg,Pride and Prejudice,Jane Austen
cover_008.jpg,The Catcher in the Rye,J. D. Salinger
cover_009.jpg,The Hobbit,J.R.R. Tolkien
cover_010.jpg,Harry Potter and the Philosopher's Stone,J. K. Rowling
cover_011.jpg,The Da Vinci Code,Dan Brown
cover_012.jpg,The Hunger Games,Suzanne Collins
cover_013.jpg,Gone Girl,Gillian Flynn
cover_014.jpg,The Fault in Our Stars,John Green
cover_015.jpg,Sapiens,Yuval Noah Harari
cover_016.jpg,"Thinking, fast and slow",Daniel Kahneman
cover_017.jpg,"Rich Dad, Poor Dad",Robert T. Kiyosaki
cover_018.jpg,The Subtle Art of Not Giving a F*ck,Mark Manson
cover_019.jpg,The Power of Habit,Charles Duhigg
cover_020.jpg,Educated,Tara Westover
cover_021.jpg,Becoming,Michelle Obama
cover_022.jpg,The Road,Cormac McCarthy
cover_023.jpg,Life of Pi,Yann Martel
cover_024.jpg,The Book Thief,Markus Zusak
cover_025.jpg,The Girl on the Train,Paula Hawkins
cover_026.jpg,The Help,Kathryn Stockett
cover_027.jpg,The Martian,Andy Weir
cover_028.jpg,Dune,Frank Herbert
cover_029.jpg,Brave New World,Aldous Huxley
cover_030.jpg,Fahrenheit 451,Ray Bradbury
cover_031.jpg,Lord of the Flies,William Golding
cover_032.jpg,The Shining,Stephen King
cover_033.jpg,It,Stephen King
cover_034.jpg,The Stand,Stephen King
cover_035.jpg,Murder on the Orient Express,Agatha Christie
cover_036.jpg,The Silent Patient,Alex Michaelides
cover_037.jpg,Where the Crawdads Sing,Delia Owens
cover_038.jpg,Normal People,Sally Rooney
cover_039.jpg,A Little Life,Hanya Yanagihara
cover_040.jpg,The Goldfinch,Donna Tartt
cover_041.jpg,The Night Circus,Erin Morgenstern
cover_042.jpg,Circe,Madeline Miller
cover_043.jpg,The Song of Achilles,Madeline Miller
cover_044.jpg,Project Hail Mary,Andy Weir
cover_045.jpg,Klara and the Sun,Kazuo Ishiguro
cover_046.jpg,The Midnight Library,Matt Haig
cover_047.jpg,Verity,Colleen Hoover
cover_048.jpg,It Ends With Us,Colleen Hoover
cover_049.jpg,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid
cover_050.jpg,Little Fires Everywhere,Celeste Ng
cover_051.jpg,The Nightingale,Kristin Hannah
cover_052.jpg,All the Light We Cannot See,Anthony Doerr
cover_053.jpg,The Giver,Lois Lowry
cover_054.jpg,Wonder,R. J. Palacio
cover_055.jpg,The Maze Runner,James Dashner
cover_056.jpg,Divergent,Veronica Roth
cover_057.jpg,Twilight,Stephenie Meyer
cover_058.jpg,The Notebook,Nicholas Sparks
cover_059.jpg,The Pillars of the Earth,Ken Follett
cover_060.jpg,Outliers,Malcolm Gladwell
cover_061.jpg,The Tipping Point,Malcolm Gladwell
cover_062.jpg,Blink,Malcolm Gladwell
cover_063.jpg,Freakonomics,Steven D. Levitt
cover_064.jpg,Quiet,Susan Cain
cover_065.jpg,Grit,Angela Duckworth
cover_066.jpg,Mindset,Carol S. Dweck
cover_067.jpg,... Trotzdem Ja zum Leben sagen,Viktor E. Frankl
cover_068.jpg,The Four Agreements,Don Miguel Ruiz
cover_069.jpg,The 7 Habits of Highly Effective People,Stephen R. Covey
cover_070.jpg,How to Win Friends and Influence People,Dale Carnegie
cover_071.jpg,Start with why,Simon Sinek
cover_072.jpg,Zero to One,Peter A. Thiel
cover_073.jpg,The Lean Startup,Eric Ries
cover_074.jpg,Shoe Dog,Phil Knight
cover_075.jpg,Steve Jobs,Walter Isaacson
cover_076.jpg,The Immortal Life of Henrietta Lacks,Rebecca Skloot
cover_077.jpg,A Brief History of Time,Stephen Hawking
cover_078.jpg,Cosmos,Carl Sagan
cover_079.jpg,The Selfish Gene,Richard Dawkins
cover_080.jpg,"Guns, Germs, and Steel",Jared Diamond
cover_081.jpg,The Body,Bill Bryson
cover_082.jpg,Born a Crime,Trevor Noah
cover_083.jpg,Into the Wild,Jon Krakauer
cover_084.jpg,Wild,Cheryl Strayed
cover_085.jpg,The Glass Castle,Jeannette Walls
cover_086.jpg,Just Mercy,Bryan Stevenson
cover_087.jpg,The Devil in the White City,Erik Larson
cover_088.jpg,Killers of the Flower Moon,David Grann
cover_089.jpg,Unbroken,Laura Hillenbrand
cover_090.jpg,Het Achterhuis,Anne Frank
cover_091.jpg,La Nuit,Elie Wiesel
cover_092.jpg,The Color Purple,Alice Walker
cover_093.jpg,Beloved,Toni Morrison
cover_094.jpg,Their Eyes Were Watching God,Zora Neale Hurston
cover_095.jpg,Invisible Man,Ralph Ellison
cover_096.jpg,The Bell Jar,Sylvia Plath
cover_097.jpg,Slaughterhouse-Five,Kurt Vonnegut
cover_098.jpg,Catch-22,Joseph Heller
cover_099.jpg,East of Eden,John Steinbeck
cover_100.jpg,The Grapes of Wrath,John Steinbeck
